DevEui,JoinEui,Class,PRR,Total Messages,updf,upinfo,dntxed,joining,joined,dnfail,dnacked,Initial FCntUp,Last FCntUp,Expected Packets,Received Packets
10-00-00-02-3F-3D-AC-36,N/A,A,94.45%,1022,511,511,0,0,0,0,0,911,523,541,511
A8-17-58-FF-FE-06-62-F9,N/A,A,100.00%,142,71,71,0,0,0,0,0,118020,118090,71,71
92-30-00-01-00-00-04-92,92-30-00-02-00-00-04-92,C,100.00%,84,38,38,0,4,4,0,0,3,7,38,38
10-00-00-02-3F-3D-AC-51,N/A,A,59.57%,1431,663,663,67,0,0,0,38,81529,82641,1113,663
A8-17-58-FF-FE-06-3D-75,N/A,A,100.00%,162,81,81,0,0,0,0,0,127435,127515,81,81
10-00-00-02-3F-3D-AC-83,N/A,A,98.44%,2230,1076,1076,40,0,0,0,38,82097,83189,1093,1076
10-00-00-02-3F-3D-AC-B4,N/A,A,94.28%,1022,511,511,0,0,0,0,0,912,523,542,511
10-00-00-02-3F-3D-AC-B7,N/A,A,97.24%,1056,528,528,0,0,0,0,0,912,524,543,528
A8-17-58-FF-FE-04-4D-C8,N/A,A,100.00%,72,36,36,0,0,0,0,0,96579,96614,36,36
47-4B-41-F2-00-1F-00-3A,N/A,C,99.80%,988,494,494,0,0,0,0,0,63619,64113,495,494
92-30-00-01-00-00-06-03,N/A,C,80.00%,72,36,36,0,0,0,0,0,63061,63105,45,36
10-00-00-02-3F-3D-AC-AD,N/A,A,91.14%,2084,998,998,46,0,0,0,42,80808,81902,1095,998
10-00-00-02-3F-3D-AC-84,N/A,A,97.05%,1052,526,526,0,0,0,0,0,912,523,542,526
A8-17-58-FF-FE-06-3E-DF,N/A,A,100.00%,348,174,174,0,0,0,0,0,55980,56153,174,174
10-00-00-02-3F-3D-AC-32,N/A,A,82.18%,2469,867,867,735,0,0,0,0,80389,81443,1055,867
10-00-00-02-3F-3D-AC-0B,N/A,A,97.42%,1058,529,529,0,0,0,0,0,911,524,543,529
10-00-00-02-3F-3D-AC-39,N/A,A,85.83%,1978,945,945,49,0,0,0,39,82012,83112,1101,945
10-00-00-02-3F-3D-AC-6E,N/A,A,90.24%,1904,952,952,0,0,0,0,0,79080,80134,1055,952
10-00-00-02-3F-3D-AC-81,N/A,A,97.54%,2060,1030,1030,0,0,0,0,0,79029,80084,1056,1030
10-00-00-02-3F-3D-AC-98,N/A,A,85.56%,1954,936,936,44,0,0,0,38,82029,83122,1094,936
10-00-00-02-3F-3D-AC-9A,N/A,A,98.29%,2074,1037,1037,0,0,0,0,0,79098,80152,1055,1037
10-00-00-02-3F-3D-AC-34,N/A,A,99.62%,2102,1051,1051,0,0,0,0,0,78782,79836,1055,1051
10-00-00-02-3F-3D-AC-4B,N/A,A,98.53%,1070,535,535,0,0,0,0,0,910,524,543,535
92-30-00-01-00-00-02-65,92-30-00-02-00-00-02-65,C,100.00%,128,59,59,0,5,5,0,0,12,4,59,59
A8-17-58-FF-FE-04-08-B8,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
10-00-00-02-3F-3D-AC-0A,N/A,A,97.91%,2064,1032,1032,0,0,0,0,0,79096,80149,1054,1032
10-00-00-02-3F-3D-AC-A7,N/A,A,76.61%,1779,845,845,53,0,0,0,36,82415,83517,1103,845
A8-17-58-FF-FE-04-00-F8,N/A,A,100.00%,72,36,36,0,0,0,0,0,89001,89036,36,36
8C-F9-57-40-00-00-05-04,N/A,A,100.00%,420,210,210,0,0,0,0,0,153292,153501,210,210
A8-17-58-FF-FE-04-0A-C0,N/A,A,100.00%,72,36,36,0,0,0,0,0,93859,93894,36,36
A8-17-58-FF-FE-06-2B-CB,N/A,A,100.00%,142,71,71,0,0,0,0,0,89079,89149,71,71
47-8B-41-F2-00-1B-00-35,N/A,C,96.50%,1048,524,524,0,0,0,0,0,17578,18120,543,524
00-95-69-0E-00-00-15-D4,01-02-03-04-05-06-07-08,Unknown,92.86%,2961,13,13,0,2932,3,0,0,0,4,14,13
A8-17-58-FF-FE-04-03-41,N/A,A,100.00%,72,36,36,0,0,0,0,0,96628,96663,36,36
24-E1-24-13-6B-50-50-49,N/A,A,100.00%,280,140,140,0,0,0,0,0,30704,30843,140,140
A8-17-58-FF-FE-06-2B-E9,N/A,A,100.00%,142,71,71,0,0,0,0,0,89124,89194,71,71
A8-17-58-FF-FE-04-AB-3E,N/A,A,100.00%,72,36,36,0,0,0,0,0,86084,86119,36,36
92-30-00-01-00-00-03-79,92-30-00-02-00-00-03-79,C,98.00%,111,49,49,0,8,5,0,0,8,3,50,49
10-00-00-02-3F-3D-AC-2C,N/A,A,96.98%,2204,1060,1060,44,0,0,0,40,80442,81534,1093,1060
A8-17-58-FF-FE-04-08-C7,N/A,A,100.00%,72,36,36,0,0,0,0,0,96628,96663,36,36
47-1B-41-F2-00-3D-00-23,N/A,C,100.00%,1054,527,527,0,0,0,0,0,61525,62051,527,527
92-30-00-01-00-00-05-07,92-30-00-02-00-00-05-07,C,100.00%,90,40,40,0,5,5,0,0,8,3,40,40
47-8B-41-F2-00-1B-00-25,N/A,C,99.62%,1052,526,526,0,0,0,0,0,68949,69476,528,526
A8-17-58-FF-FE-04-02-00,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
92-30-00-01-00-00-02-48,92-30-00-02-00-00-02-48,C,96.30%,114,52,52,0,5,5,0,0,10,3,54,52
10-00-00-02-3F-3D-AC-7A,N/A,A,52.42%,1220,574,574,49,0,0,0,23,138440,139534,1095,574
A8-17-58-FF-FE-04-08-2D,N/A,A,97.22%,70,35,35,0,0,0,0,0,88894,88929,36,35
A8-17-58-FF-FE-04-AB-A0,N/A,A,100.00%,72,36,36,0,0,0,0,0,86086,86121,36,36
A8-17-58-FF-FE-06-67-80,N/A,A,100.00%,142,71,71,0,0,0,0,0,88944,89014,71,71
92-30-00-01-00-00-03-28,92-30-00-02-00-00-03-28,C,79.69%,112,51,51,0,6,4,0,0,8,16,64,51
00-95-69-0E-00-00-16-BB,01-02-03-04-05-06-07-08,Unknown,84.21%,3008,144,144,0,2691,29,0,0,1,4,171,144
00-95-69-0E-00-00-15-A8,01-02-03-04-05-06-07-08,Unknown,100.00%,3198,5,5,0,3187,1,0,0,0,4,5,5
00-95-69-0E-00-00-15-DA,01-02-03-04-05-06-07-08,Unknown,80.47%,2203,276,276,0,1605,46,0,0,0,4,343,276
92-30-00-01-00-00-04-56,92-30-00-02-00-00-04-56,C,100.00%,104,48,48,0,4,4,0,0,7,10,48,48
A8-17-58-FF-FE-04-AA-50,N/A,A,97.22%,70,35,35,0,0,0,0,0,86087,86122,36,35
A8-17-58-FF-FE-04-00-FA,N/A,A,100.00%,72,36,36,0,0,0,0,0,89003,89038,36,36
00-95-69-0E-00-00-15-F3,01-02-03-04-05-06-07-08,Unknown,100.00%,2935,5,5,0,2924,1,0,0,0,4,5,5
10-00-00-02-3F-3D-AC-A0,N/A,A,87.39%,1990,956,956,41,0,0,0,37,82085,83178,1094,956
A8-17-58-FF-FE-04-AB-EC,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
A8-17-58-FF-FE-04-AC-01,N/A,A,100.00%,72,36,36,0,0,0,0,0,86086,86121,36,36
92-30-00-01-00-00-05-63,92-30-00-02-00-00-05-63,C,100.00%,96,43,43,0,5,5,0,0,10,2,43,43
92-30-00-01-00-00-03-66,92-30-00-02-00-00-03-66,C,96.77%,128,60,60,0,4,4,0,0,4,9,62,60
00-95-69-0E-00-00-17-2C,01-02-03-04-05-06-07-08,Unknown,77.55%,1893,114,114,0,1637,28,0,0,0,4,147,114
00-95-69-0E-00-00-16-67,01-02-03-04-05-06-07-08,Unknown,95.41%,3158,104,104,0,2927,23,0,0,0,4,109,104
A8-17-58-FF-FE-04-AB-0F,N/A,A,100.00%,72,36,36,0,0,0,0,0,53861,53896,36,36
A8-17-58-FF-FE-04-AC-6A,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
10-00-00-02-3F-3D-AC-77,N/A,A,93.96%,2136,1026,1026,44,0,0,0,40,137723,138814,1092,1026
47-7B-41-F2-00-47-00-45,N/A,C,99.25%,1052,526,526,0,0,0,0,0,63998,64527,530,526
8C-F9-57-40-00-00-04-9A,N/A,A,100.00%,420,210,210,0,0,0,0,0,152674,152883,210,210
A8-17-58-FF-FE-06-3D-1F,N/A,A,100.00%,192,96,96,0,0,0,0,0,39288,39383,96,96
A8-17-58-FF-FE-04-02-B1,N/A,A,100.00%,72,36,36,0,0,0,0,0,88859,88894,36,36
10-00-00-02-3F-3D-AC-1F,N/A,A,41.34%,1027,463,463,83,0,0,0,18,138516,139635,1120,463
10-00-00-02-3F-3D-AC-08,N/A,A,90.69%,2075,994,994,47,0,0,0,40,138308,139403,1096,994
10-00-00-02-3F-3D-AC-B5,N/A,A,55.14%,1308,606,606,62,0,0,0,34,82472,83570,1099,606
A8-17-58-FF-FE-04-09-02,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
92-30-00-01-00-00-06-16,92-30-00-02-00-00-06-16,C,33.33%,225,7,7,0,208,3,0,0,18,7,21,7
92-30-00-01-00-00-04-24,92-30-00-02-00-00-04-24,C,98.36%,128,60,60,0,4,4,0,0,4,9,61,60
10-00-00-02-3F-3D-AC-B9,N/A,A,75.64%,1755,832,832,52,0,0,0,39,137739,138838,1100,832
A8-17-58-FF-FE-04-4E-22,N/A,A,100.00%,72,36,36,0,0,0,0,0,96581,96616,36,36
A8-17-58-FF-FE-04-AB-44,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
A8-17-58-FF-FE-04-AC-59,N/A,A,100.00%,72,36,36,0,0,0,0,0,86086,86121,36,36
47-9B-41-F2-00-49-00-41,N/A,C,100.00%,1054,527,527,0,0,0,0,0,68968,69494,527,527
92-30-00-01-00-00-03-39,92-30-00-02-00-00-03-39,C,96.92%,137,63,63,0,6,5,0,0,9,3,65,63
A8-40-41-53-B1-82-DD-37,N/A,C,100.00%,422,211,211,0,0,0,0,0,2281,2491,211,211
00-95-69-0E-00-00-16-59,01-02-03-04-05-06-07-08,Unknown,100.00%,3276,0,0,0,3276,0,0,0,N/A,N/A,0,0
00-95-69-0E-00-00-16-4B,01-02-03-04-05-06-07-08,Unknown,100.00%,2276,0,0,0,2276,0,0,0,N/A,N/A,0,0
A8-17-58-FF-FE-04-01-C6,N/A,A,100.00%,72,36,36,0,0,0,0,0,96625,96660,36,36
00-95-69-0E-00-00-16-EF,01-02-03-04-05-06-07-08,Unknown,100.00%,3108,5,5,0,3097,1,0,0,0,4,5,5
47-5B-41-F2-00-3C-00-42,N/A,C,89.80%,968,484,484,0,0,0,0,0,229502,230040,539,484
92-30-00-01-00-00-02-50,92-30-00-02-00-00-02-50,C,100.00%,154,64,64,0,13,13,0,0,1,3,64,64
10-00-00-02-3F-3D-AC-C2,N/A,A,95.82%,3007,1008,1008,991,0,0,0,0,78144,79195,1052,1008
10-00-00-02-3F-3D-AC-BB,N/A,A,76.85%,830,415,415,0,0,0,0,0,912,524,540,415
A8-17-58-FF-FE-04-AB-99,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
92-30-00-01-00-00-00-11,92-30-00-02-00-00-00-11,C,91.94%,122,57,57,0,4,4,0,0,7,11,62,57
A8-17-58-FF-FE-04-AD-BD,N/A,A,97.22%,70,35,35,0,0,0,0,0,86088,86123,36,35
92-30-00-01-00-00-01-02,92-30-00-02-00-00-01-02,C,100.00%,122,57,57,0,4,4,0,0,6,9,57,57
47-1B-41-F2-00-31-00-25,N/A,C,100.00%,1054,527,527,0,0,0,0,0,2756,3282,527,527
A8-17-58-FF-FE-06-3E-7A,N/A,A,100.00%,158,79,79,0,0,0,0,0,91728,91806,79,79
92-30-00-01-00-00-04-38,92-30-00-02-00-00-04-38,C,97.96%,102,48,48,0,3,3,0,0,10,16,49,48
8C-F9-57-40-00-00-04-BB,N/A,A,100.00%,420,210,210,0,0,0,0,0,153280,153489,210,210
A8-17-58-FF-FE-04-01-80,N/A,A,94.44%,68,34,34,0,0,0,0,0,89005,89040,36,34
10-00-00-02-3F-3D-AC-20,N/A,A,51.33%,1366,540,540,286,0,0,0,0,136762,137813,1052,540
92-30-00-01-00-00-05-11,N/A,C,94.44%,68,34,34,0,0,0,0,0,50186,50221,36,34
47-5B-41-F2-00-3C-00-3F,N/A,C,99.62%,1050,525,525,0,0,0,0,0,63741,64267,527,525
10-00-00-02-3F-3D-AC-7F,N/A,A,87.08%,1834,917,917,0,0,0,0,0,136459,137511,1053,917
10-00-00-02-3F-3D-AC-73,N/A,A,57.48%,1364,634,634,58,0,0,0,38,81903,83005,1103,634
10-00-00-02-3F-3D-AC-87,N/A,A,64.07%,1513,708,708,59,0,0,0,38,81331,82435,1105,708
10-00-00-02-3F-3D-AC-17,N/A,A,89.40%,2039,978,977,45,0,0,0,39,82331,83424,1094,978
92-30-00-01-00-00-02-17,92-30-00-02-00-00-02-17,C,37.14%,61,13,13,0,30,5,0,0,24,5,35,13
A8-17-58-FF-FE-04-AD-31,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
A8-17-58-FF-FE-04-AD-5A,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
10-00-00-02-3F-3D-AC-47,N/A,A,68.70%,742,371,371,0,0,0,0,0,913,524,540,371
10-00-00-02-3F-3D-AC-02,N/A,A,60.82%,1270,635,635,0,0,0,0,0,105476,106519,1044,635
A8-17-58-FF-FE-04-09-91,N/A,A,100.00%,212,106,106,0,0,0,0,0,133394,133499,106,106
47-7B-41-F2-00-46-00-22,N/A,C,98.86%,1042,521,521,0,0,0,0,0,34600,35126,527,521
47-5B-41-F2-00-3C-00-41,N/A,C,96.88%,1054,527,527,0,0,0,0,0,2700,3243,544,527
10-00-00-02-3F-3D-AC-BA,N/A,A,41.80%,1003,461,461,57,0,0,0,24,82199,83301,1103,461
92-30-00-01-00-00-04-60,92-30-00-02-00-00-04-60,C,100.00%,116,54,54,0,4,4,0,0,7,12,54,54
A8-17-58-FF-FE-04-01-D2,N/A,A,100.00%,72,36,36,0,0,0,0,0,88896,88931,36,36
92-30-00-01-00-00-03-43,92-30-00-02-00-00-03-43,C,47.69%,72,31,31,0,6,4,0,0,5,16,65,31
A8-17-58-FF-FE-04-AD-59,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
92-30-00-01-00-00-01-14,92-30-00-02-00-00-01-14,C,100.00%,116,54,54,0,4,4,0,0,7,12,54,54
10-00-00-02-3F-3D-AC-8B,N/A,A,25.57%,645,282,282,63,0,0,0,18,136070,137172,1103,282
A8-17-58-FF-FE-04-09-01,N/A,A,100.00%,72,36,36,0,0,0,0,0,96533,96568,36,36
92-30-00-01-00-00-00-56,92-30-00-02-00-00-00-56,C,100.00%,170,73,73,0,12,12,0,0,6,6,73,73
10-00-00-02-3F-3D-AC-18,N/A,A,42.83%,902,451,451,0,0,0,0,0,125461,126513,1053,451
92-30-00-01-00-00-04-64,92-30-00-02-00-00-04-64,C,97.33%,171,73,73,0,13,12,0,0,6,6,75,73
92-30-00-01-00-00-01-16,92-30-00-02-00-00-01-16,C,92.31%,131,60,60,0,6,5,0,0,11,4,65,60
00-95-69-0E-00-00-16-FB,01-02-03-04-05-06-07-08,Unknown,100.00%,672,0,0,0,672,0,0,0,N/A,N/A,0,0
92-30-00-01-00-00-05-02,92-30-00-02-00-00-05-02,C,100.00%,80,36,36,0,4,4,0,0,3,6,36,36
8C-F9-57-40-00-00-04-A8,N/A,A,100.00%,420,210,210,0,0,0,0,0,152677,152886,210,210
92-30-00-01-00-00-00-70,92-30-00-02-00-00-00-70,C,100.00%,118,54,54,0,5,5,0,0,11,4,54,54
A8-17-58-FF-FE-04-AC-78,N/A,A,100.00%,72,36,36,0,0,0,0,0,86086,86121,36,36
A8-17-58-FF-FE-06-5F-53,N/A,A,100.00%,142,71,71,0,0,0,0,0,38495,38565,71,71
A8-17-58-FF-FE-04-4D-96,N/A,A,100.00%,72,36,36,0,0,0,0,0,96581,96616,36,36
A8-17-58-FF-FE-04-AC-64,N/A,A,91.67%,66,33,33,0,0,0,0,0,86085,86120,36,33
92-30-00-01-00-00-01-04,92-30-00-02-00-00-01-04,C,96.20%,176,76,76,0,12,12,0,0,6,5,79,76
00-95-69-0E-00-00-16-4A,01-02-03-04-05-06-07-08,Unknown,100.00%,985,0,0,0,985,0,0,0,N/A,N/A,0,0
92-30-00-01-00-00-04-99,92-30-00-02-00-00-04-99,C,100.00%,86,38,38,0,5,5,0,0,8,1,38,38
24-E1-24-46-8D-35-55-94,N/A,C,100.00%,212,106,106,0,0,0,0,0,2942,3047,106,106
92-30-00-01-00-00-05-48,92-30-00-02-00-00-05-48,C,100.00%,80,36,36,0,4,4,0,0,3,6,36,36
10-00-00-02-3F-3D-AC-67,N/A,A,49.32%,1178,544,544,58,0,0,0,32,139550,140652,1103,544
A8-17-58-FF-FE-03-FF-8A,N/A,A,100.00%,72,36,36,0,0,0,0,0,96533,96568,36,36
00-95-69-0E-00-00-16-68,01-02-03-04-05-06-07-08,Unknown,100.00%,1306,0,0,0,1306,0,0,0,N/A,N/A,0,0
92-30-00-01-00-00-02-78,92-30-00-02-00-00-02-78,C,100.00%,118,54,54,0,5,5,0,0,11,5,54,54
A8-17-58-FF-FE-04-08-46,N/A,A,100.00%,72,36,36,0,0,0,0,0,33723,33758,36,36
A8-17-58-FF-FE-03-FF-89,N/A,A,100.00%,72,36,36,0,0,0,0,0,96533,96568,36,36
92-30-00-01-00-00-05-49,92-30-00-02-00-00-05-49,C,100.00%,92,38,38,0,8,8,0,0,8,1,38,38
92-30-00-01-00-00-01-19,92-30-00-02-00-00-01-19,C,100.00%,128,60,60,0,4,4,0,0,7,12,60,60
24-E1-24-46-8D-31-12-89,24-E1-24-C0-00-2A-00-01,C,100.00%,226,112,112,0,1,1,0,0,13861,69,112,112
92-30-00-01-00-00-05-31,92-30-00-02-00-00-05-31,C,97.30%,80,36,36,0,4,4,0,0,5,8,37,36
A8-17-58-FF-FE-04-01-0E,N/A,A,100.00%,72,36,36,0,0,0,0,0,96507,96542,36,36
A8-17-58-FF-FE-04-AD-BC,N/A,A,91.43%,64,32,32,0,0,0,0,0,86089,86123,35,32
92-30-00-01-00-00-02-41,92-30-00-02-00-00-02-41,C,98.18%,117,54,54,0,5,4,0,0,6,11,55,54
A8-17-58-FF-FE-04-03-0A,N/A,A,100.00%,72,36,36,0,0,0,0,0,96623,96658,36,36
92-30-00-01-00-00-03-27,92-30-00-02-00-00-03-27,C,100.00%,116,54,54,0,4,4,0,0,6,11,54,54
A8-17-58-FF-FE-04-AC-D6,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
A8-17-58-FF-FE-04-4E-3E,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
92-30-00-01-00-00-04-34,92-30-00-02-00-00-04-34,C,98.18%,116,54,54,0,4,4,0,0,5,10,55,54
92-30-00-01-00-00-03-95,92-30-00-02-00-00-03-95,C,100.00%,116,54,54,0,4,4,0,0,6,11,54,54
A8-17-58-FF-FE-04-AC-D5,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
10-00-00-02-3F-3D-AC-C0,N/A,A,47.96%,1154,530,530,59,0,0,0,35,82443,83547,1105,530
10-00-00-02-3F-3D-AC-1B,N/A,A,59.98%,1262,631,631,0,0,0,0,0,78725,79776,1052,631
A8-17-58-FF-FE-04-01-0F,N/A,A,100.00%,72,36,36,0,0,0,0,0,96507,96542,36,36
8C-F9-57-40-00-00-04-A3,N/A,A,100.00%,420,210,210,0,0,0,0,0,153280,153489,210,210
A8-17-58-FF-FE-06-67-81,N/A,A,100.00%,142,71,71,0,0,0,0,0,89193,89263,71,71
00-95-69-06-00-01-39-E2,24-E1-24-C0-00-2A-00-01,A,98.61%,4895,1851,1851,688,42,8,0,455,503,490,1877,1851
92-30-00-01-00-00-00-90,92-30-00-02-00-00-00-90,C,96.97%,138,64,64,0,5,5,0,0,12,8,66,64
92-30-00-01-00-00-02-98,92-30-00-02-00-00-02-98,C,100.00%,118,54,54,0,5,5,0,0,9,3,54,54
A8-17-58-FF-FE-06-67-85,N/A,A,100.00%,142,71,71,0,0,0,0,0,89338,89408,71,71
92-30-00-01-00-00-02-47,92-30-00-02-00-00-02-47,C,100.00%,118,54,54,0,5,5,0,0,11,4,54,54
A8-17-58-FF-FE-06-2B-E8,N/A,A,100.00%,142,71,71,0,0,0,0,0,89189,89259,71,71
A8-17-58-FF-FE-04-AD-07,N/A,A,94.44%,68,34,34,0,0,0,0,0,86087,86122,36,34
A8-17-58-FF-FE-04-02-24,N/A,A,100.00%,72,36,36,0,0,0,0,0,96625,96660,36,36
10-00-00-02-3F-3D-AC-95,N/A,A,71.31%,1639,778,778,44,0,0,0,39,138776,139866,1091,778
A8-17-58-FF-FE-04-4E-29,N/A,A,100.00%,72,36,36,0,0,0,0,0,96579,96614,36,36
A8-17-58-FF-FE-04-09-82,N/A,A,100.00%,72,36,36,0,0,0,0,0,96533,96568,36,36
24-E1-24-13-6C-34-32-25,N/A,A,95.33%,204,102,102,0,0,0,0,0,18045,18151,107,102
92-30-00-01-00-00-02-63,92-30-00-02-00-00-02-63,C,100.00%,144,60,60,0,12,12,0,0,4,4,60,60
A8-17-58-FF-FE-04-AA-FA,N/A,A,100.00%,72,36,36,0,0,0,0,0,86073,86108,36,36
A8-17-58-FF-FE-04-AC-5E,N/A,A,100.00%,72,36,36,0,0,0,0,0,86089,86124,36,36
A8-17-58-FF-FE-06-3E-D7,N/A,A,100.00%,142,71,71,0,0,0,0,0,136658,136728,71,71
A8-17-58-FF-FE-04-03-16,N/A,A,100.00%,72,36,36,0,0,0,0,0,96624,96659,36,36
A8-17-58-FF-FE-04-09-EF,N/A,A,100.00%,72,36,36,0,0,0,0,0,96626,96661,36,36
92-30-00-01-00-00-02-60,92-30-00-02-00-00-02-60,C,100.00%,116,54,54,0,4,4,0,0,7,12,54,54
A8-17-58-FF-FE-04-AD-60,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
A8-17-58-FF-FE-04-09-F8,N/A,A,100.00%,72,36,36,0,0,0,0,0,96626,96661,36,36
92-30-00-01-00-00-03-18,92-30-00-02-00-00-03-18,C,98.21%,118,55,55,0,4,4,0,0,7,10,56,55
A8-17-58-FF-FE-04-0A-D4,N/A,A,100.00%,72,36,36,0,0,0,0,0,44755,44790,36,36
A8-17-58-FF-FE-04-4D-92,N/A,A,100.00%,72,36,36,0,0,0,0,0,96580,96615,36,36
8C-F9-57-40-00-00-04-96,N/A,A,100.00%,420,210,210,0,0,0,0,0,153238,153447,210,210
92-30-00-01-00-00-04-36,92-30-00-02-00-00-04-36,C,100.00%,120,57,57,0,3,3,0,0,4,11,57,57
A8-17-58-FF-FE-04-00-77,N/A,A,88.89%,64,32,32,0,0,0,0,0,65113,65148,36,32
A8-17-58-FF-FE-06-3D-25,N/A,A,100.00%,150,75,75,0,0,0,0,0,116923,116997,75,75
92-30-00-01-00-00-00-39,92-30-00-02-00-00-00-39,C,95.65%,156,66,66,0,12,12,0,0,5,6,69,66
A8-17-58-FF-FE-04-00-7F,N/A,A,100.00%,72,36,36,0,0,0,0,0,88897,88932,36,36
A8-17-58-FF-FE-07-DC-B8,N/A,A,100.00%,142,71,71,0,0,0,0,0,27038,27108,71,71
A8-17-58-FF-FE-04-AB-A1,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
A8-17-58-FF-FE-04-4E-24,N/A,A,100.00%,72,36,36,0,0,0,0,0,96582,96617,36,36
A8-17-58-FF-FE-04-AB-E7,N/A,A,100.00%,72,36,36,0,0,0,0,0,86086,86121,36,36
A8-17-58-FF-FE-06-5D-93,N/A,A,98.67%,148,74,74,0,0,0,0,0,28121,28195,75,74
92-30-00-01-00-00-04-62,92-30-00-02-00-00-04-62,C,98.39%,130,61,61,0,4,4,0,0,8,12,62,61
A8-17-58-FF-FE-04-AD-66,N/A,A,100.00%,72,36,36,0,0,0,0,0,85835,85870,36,36
A8-17-58-FF-FE-04-01-01,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
92-30-00-01-00-00-00-54,92-30-00-02-00-00-00-54,C,100.00%,120,55,55,0,5,5,0,0,12,5,55,55
A8-17-58-FF-FE-04-07-F6,N/A,A,100.00%,72,36,36,0,0,0,0,0,89004,89039,36,36
A8-17-58-FF-FE-04-01-04,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
10-00-00-02-3F-3D-AC-62,N/A,A,21.15%,518,231,231,46,0,0,0,10,137758,138849,1092,231
A8-17-58-FF-FE-04-AB-31,N/A,A,100.00%,72,36,36,0,0,0,0,0,85839,85874,36,36
92-30-00-01-00-00-01-44,92-30-00-02-00-00-01-44,C,100.00%,130,60,60,0,5,5,0,0,11,4,60,60
92-30-00-01-00-00-02-86,92-30-00-02-00-00-02-86,C,100.00%,128,60,60,0,4,4,0,0,5,10,60,60
A8-17-58-FF-FE-03-94-10,N/A,A,100.00%,72,36,36,0,0,0,0,0,82155,82190,36,36
A8-17-58-FF-FE-04-03-22,N/A,A,100.00%,72,36,36,0,0,0,0,0,88859,88894,36,36
A8-17-58-FF-FE-04-AC-82,N/A,A,100.00%,72,36,36,0,0,0,0,0,86089,86124,36,36
A8-17-58-FF-FE-04-AB-04,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
A8-17-58-FF-FE-04-01-D3,N/A,A,100.00%,72,36,36,0,0,0,0,0,88896,88931,36,36
A8-17-58-FF-FE-04-AC-3B,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
92-30-00-01-00-00-03-54,92-30-00-02-00-00-03-54,C,98.18%,118,54,54,0,5,5,0,0,1,6,55,54
A8-17-58-FF-FE-04-01-BF,N/A,A,100.00%,72,36,36,0,0,0,0,0,96512,96547,36,36
A8-17-58-FF-FE-04-AC-52,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
92-30-00-01-00-00-02-70,92-30-00-02-00-00-02-70,C,100.00%,120,55,55,0,5,5,0,0,13,5,55,55
92-30-00-01-00-00-01-11,92-30-00-02-00-00-01-11,C,88.46%,102,46,46,0,5,5,0,0,9,5,52,46
A8-17-58-FF-FE-04-AD-BA,N/A,A,97.22%,70,35,35,0,0,0,0,0,86087,86122,36,35
A8-17-58-FF-FE-04-03-17,N/A,A,100.00%,72,36,36,0,0,0,0,0,96624,96659,36,36
A8-17-58-FF-FE-06-3D-6F,N/A,A,100.00%,328,164,164,0,0,0,0,0,184020,184183,164,164
A8-17-58-FF-FE-04-01-10,N/A,A,100.00%,72,36,36,0,0,0,0,0,96505,96540,36,36
92-30-00-01-00-00-00-40,92-30-00-02-00-00-00-40,C,94.87%,172,74,74,0,12,12,0,0,6,7,78,74
A8-17-58-FF-FE-03-FF-8C,N/A,A,100.00%,72,36,36,0,0,0,0,0,96815,96850,36,36
92-30-00-01-00-00-03-83,92-30-00-02-00-00-03-83,C,100.00%,126,58,58,0,5,5,0,0,15,5,58,58
A8-17-58-FF-FE-06-3D-77,N/A,A,100.00%,294,147,147,0,0,0,0,0,5991,6137,147,147
24-E1-24-13-6C-34-31-77,24-E1-24-C0-00-2A-00-01,Unknown,100.00%,63,0,0,0,63,0,0,0,N/A,N/A,0,0
8C-F9-57-40-00-00-04-6E,N/A,A,100.00%,420,210,210,0,0,0,0,0,153276,153485,210,210
24-E1-24-13-6C-34-31-45,24-E1-24-C0-00-2A-00-01,Unknown,100.00%,56,0,0,0,56,0,0,0,N/A,N/A,0,0
