DevEui,JoinEui,Class,PRR,Total Messages,updf,upinfo,dntxed,joining,joined,dnfail,dnacked,Initial FCntUp,Last FCntUp,Expected Packets,Received Packets
10-00-00-02-3F-3D-AC-6D,N/A,A,98.86%,2086,1043,1043,0,0,0,0,0,79038,80092,1055,1043
10-00-00-02-3F-29-04-00,N/A,C,100.00%,8418,4209,4209,0,0,0,0,0,1773740,1777948,4209,4209
00-95-69-0E-00-00-16-46,01-02-03-04-05-06-07-08,Unknown,100.00%,2024,0,0,0,2024,0,0,0,N/A,N/A,0,0
10-00-00-02-3F-3D-AC-2D,N/A,A,97.82%,2062,1031,1031,0,0,0,0,0,79108,80161,1054,1031
A8-17-58-FF-FE-06-3E-DA,N/A,A,100.00%,172,86,86,0,0,0,0,0,153315,153400,86,86
10-00-00-02-3F-3D-AC-4A,N/A,A,98.34%,1068,534,534,0,0,0,0,0,910,524,543,534
10-00-00-02-3F-3D-AC-71,N/A,A,99.62%,2102,1051,1051,0,0,0,0,0,78270,79324,1055,1051
10-00-00-02-3F-3D-AC-6B,N/A,A,98.96%,2086,1043,1043,0,0,0,0,0,79095,80148,1054,1043
10-00-00-02-3F-3D-AC-3A,N/A,A,98.66%,8860,4276,4276,157,0,0,0,151,318287,322620,4334,4276
10-00-00-02-3F-3D-AC-5A,N/A,A,79.27%,863,432,431,0,0,0,0,0,910,525,545,432
10-00-00-02-3F-3D-AC-61,N/A,A,98.16%,1066,533,533,0,0,0,0,0,911,523,543,533
10-00-00-02-3F-3D-AC-3E,N/A,A,96.97%,2048,1024,1024,0,0,0,0,0,136561,137616,1056,1024
10-00-00-02-3F-3D-AC-06,N/A,A,99.43%,2096,1048,1048,0,0,0,0,0,78307,79360,1054,1048
8C-F9-57-40-00-00-04-E7,N/A,A,100.00%,422,211,211,0,0,0,0,0,153238,153448,211,211
00-95-69-0E-00-00-16-25,01-02-03-04-05-06-07-08,Unknown,100.00%,3283,29,29,0,3219,6,0,0,0,4,29,29
A8-17-58-FF-FE-04-4E-20,N/A,A,100.00%,72,36,36,0,0,0,0,0,96580,96615,36,36
00-95-69-0E-00-00-16-98,01-02-03-04-05-06-07-08,Unknown,100.00%,3245,0,0,0,3245,0,0,0,N/A,N/A,0,0
10-00-00-02-3F-3D-AC-2E,N/A,A,98.48%,2076,1038,1038,0,0,0,0,0,79081,80134,1054,1038
10-00-00-02-3F-3D-AC-6F,N/A,A,96.68%,2036,1018,1018,0,0,0,0,0,79109,80161,1053,1018
10-00-00-02-3F-3D-AC-8C,N/A,A,96.32%,1048,524,524,0,0,0,0,0,910,524,544,524
A8-17-58-FF-FE-04-01-D0,N/A,A,100.00%,72,36,36,0,0,0,0,0,88897,88932,36,36
10-00-00-02-3F-3D-AC-66,N/A,A,95.64%,2018,1009,1009,0,0,0,0,0,78480,79534,1055,1009
10-00-00-02-3F-3D-AC-43,N/A,A,97.43%,7422,3673,3673,38,0,0,0,38,285302,289071,3770,3673
10-00-00-02-3F-3D-AC-46,N/A,A,50.86%,1070,535,535,0,0,0,0,0,136970,138021,1052,535
92-30-00-01-00-00-00-48,92-30-00-02-00-00-00-48,C,100.00%,136,63,63,0,5,5,0,0,7,3,63,63
10-00-00-02-3F-3D-AC-BE,N/A,A,97.43%,1060,530,530,0,0,0,0,0,911,525,544,530
10-00-00-02-3F-3D-AC-45,N/A,A,94.69%,2148,1034,1034,42,0,0,0,38,82133,83224,1092,1034
A8-17-58-FF-FE-03-FF-92,N/A,A,100.00%,72,36,36,0,0,0,0,0,96827,96862,36,36
10-00-00-02-3F-3D-AC-22,N/A,A,97.98%,1068,534,534,0,0,0,0,0,910,525,545,534
10-00-00-02-3F-3D-AC-5E,N/A,A,98.89%,1072,536,536,0,0,0,0,0,911,523,542,536
00-95-69-0E-00-00-16-77,01-02-03-04-05-06-07-08,Unknown,98.48%,3271,65,65,0,3127,14,0,0,0,4,66,65
10-00-00-02-3F-3D-AC-97,N/A,A,97.98%,1066,533,533,0,0,0,0,0,911,524,544,533
10-00-00-02-3F-3D-AC-11,N/A,A,78.70%,850,425,425,0,0,0,0,0,910,523,540,425
00-95-69-0E-00-00-16-31,01-02-03-04-05-06-07-08,Unknown,100.00%,1941,0,0,0,1941,0,0,0,N/A,N/A,0,0
10-00-00-02-3F-3D-AC-05,N/A,A,80.47%,1859,886,886,50,0,0,0,37,82202,83302,1101,886
10-00-00-02-3F-3D-AC-A3,N/A,A,54.67%,1295,603,603,57,0,0,0,32,137430,138532,1103,603
10-00-00-02-3F-3D-AC-04,N/A,A,98.35%,2226,1073,1073,41,0,0,0,39,82022,83112,1091,1073
47-5B-41-F2-00-3F-00-3E,N/A,C,95.74%,1034,517,517,0,0,0,0,0,12557,13096,540,517
8C-F9-57-40-00-00-04-D3,N/A,A,100.00%,421,211,210,0,0,0,0,0,153268,153478,211,211
10-00-00-02-3F-3D-AC-13,N/A,A,90.41%,1904,952,952,0,0,0,0,0,79059,80111,1053,952
10-00-00-02-3F-3D-AC-7D,N/A,A,80.63%,874,437,437,0,0,0,0,0,909,524,542,437
10-00-00-02-3F-3D-AC-5B,N/A,A,98.39%,2072,1036,1036,0,0,0,0,0,79071,80123,1053,1036
10-00-00-02-3F-3D-AC-1A,N/A,A,99.24%,2094,1047,1047,0,0,0,0,0,79084,80138,1055,1047
00-95-69-0E-00-00-16-EE,01-02-03-04-05-06-07-08,C,13.28%,870,115,115,0,623,17,0,0,0,8,866,115
00-95-69-0E-00-00-16-99,01-02-03-04-05-06-07-08,Unknown,74.42%,95,32,32,0,28,3,0,0,1,3,43,32
92-30-00-01-00-00-01-93,92-30-00-02-00-00-01-93,C,100.00%,142,67,67,0,4,4,0,0,4,5,67,67
10-00-00-02-3F-3D-AC-AC,N/A,A,65.23%,1557,728,728,65,0,0,0,36,139041,140156,1116,728
00-95-69-0E-00-00-16-DA,01-02-03-04-05-06-07-08,Unknown,100.00%,2866,19,19,0,2825,3,0,0,0,4,19,19
10-00-00-02-3F-3D-AC-15,N/A,A,87.11%,946,473,473,0,0,0,0,0,910,524,543,473
10-00-00-02-3F-3D-AC-1E,N/A,A,85.24%,924,462,462,0,0,0,0,0,911,523,542,462
92-30-00-01-00-00-04-80,92-30-00-02-00-00-04-80,C,100.00%,82,36,36,0,5,5,0,0,6,1,36,36
10-00-00-02-3F-3D-AC-A1,N/A,A,44.50%,938,469,469,0,0,0,0,0,135194,136247,1054,469
10-00-00-02-3F-3D-AC-35,N/A,A,87.27%,946,473,473,0,0,0,0,0,911,524,542,473
00-95-69-0E-00-00-1F-DD,01-02-03-04-05-06-07-08,C,100.00%,948,123,123,0,684,18,0,0,0,4,123,123
47-1B-41-F2-00-36-00-4C,N/A,C,93.75%,990,495,495,0,0,0,0,0,61888,62415,528,495
10-00-00-02-3F-3D-AC-8E,N/A,A,92.44%,1002,501,501,0,0,0,0,0,911,524,542,501
10-00-00-02-3F-3D-AC-25,N/A,A,97.79%,1060,530,530,0,0,0,0,0,910,523,542,530
10-00-00-02-3F-3D-AC-A4,N/A,A,98.90%,1076,538,538,0,0,0,0,0,910,524,544,538
00-95-69-0E-00-00-17-2F,01-02-03-04-05-06-07-08,Unknown,100.00%,2124,14,14,0,2093,3,0,0,1,4,14,14
00-95-69-0E-00-00-16-8E,01-02-03-04-05-06-07-08,C,100.00%,528,112,112,0,289,15,0,0,0,7,112,112
10-00-00-02-3F-3D-AC-38,N/A,A,90.31%,2059,988,988,44,0,0,0,39,82432,83525,1094,988
10-00-00-02-3F-3D-AC-9B,N/A,A,44.35%,1062,479,479,70,0,0,0,34,82411,83490,1080,479
A8-17-58-FF-FE-04-AD-37,N/A,A,100.00%,72,36,36,0,0,0,0,0,86088,86123,36,36
10-00-00-02-3F-3D-AC-8D,N/A,A,98.20%,2072,1036,1036,0,0,0,0,0,79066,80120,1055,1036
